No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date,Target Price,IPO Date,After-Hours Close,After-Hours Change
3119,HES,Hess Corporation,Energy,Oil & Gas E&P,USA,11667.88,,,,2.14,1.86,7.09,14.62,2.57%,,-10.49,-24.40%,-6.60%,-17.70%,,-9.40%,,-49.80%,305,273.73,0.10%,-8.67%,87.80%,-5.51%,3.77%,4.6,-15.20%,-40.80%,0.80%,2,1.8,1.32,1.32,73.50%,-43.80%,-58.50%,-1.19%,-15.15%,-24.30%,10.42%,-34.29%,-41.66%,2.16,1.71,3.63%,4.15%,-9.50%,-17.56%,-22.07%,-31.45%,1.81%,-47.40%,49.58%,31.73,-2.55%,-2.27%,2.1,2243.41,1.37,38.98,-4.76%,3050238,7/29/2020 8:30:00 AM,57.64,5/24/1962,38.98,0.00%
491,ATRC,"AtriCure, Inc.",Healthcare,Medical Instruments & Supplies,USA,1645.56,,,,7.76,3.82,7.08,,,,-1.29,-43.20%,28.90%,-8.80%,20.00%,16.50%,-80.00%,-30.70%,44.93,43.55,2.70%,-8.60%,95.60%,16.23%,4.33%,5.66,-8.50%,-17.40%,-10.40%,7.7,6.8,0.16,0.16,72.20%,-22.10%,-23.60%,-0.26%,-14.77%,-17.37%,15.97%,59.02%,17.69%,0.75,2.02,7.04%,4.87%,-6.40%,-8.25%,-4.73%,-17.58%,12.13%,-26.08%,65.16%,38.06,-4.94%,0.88%,1.4,333.32,2.84,38.26,-4.11%,922781,7/28/2020 4:30:00 PM,55.63,8/5/2005,38.26,0.00%
5003,ON,ON Semiconductor Corporation,Technology,Semiconductors,USA,9329.18,,17.36,,1.77,2.9,4.53,41.52,,,-0.05,-61.70%,96.72%,3.50%,11.38%,11.80%,-101.40%,-10.00%,410.1,405.9,0.90%,-8.57%,,1.76%,5.85%,3.52,-0.20%,-0.60%,5.30%,2.3,1.6,1.25,1.46,33.60%,2.90%,-0.40%,12.80%,5.33%,19.45%,103.28%,26.47%,-6.03%,2.11,0.86,3.42%,3.73%,6.74%,6.94%,18.61%,-0.91%,16.00%,-11.61%,180.42%,60.93,2.28%,3.27%,2.4,6750.11,1.5,22.91,5.62%,10092834,8/10/2020 8:30,24.1,4/28/2000,22.91,0.00%
5827,ROLL,RBC Bearings Incorporated,Industrials,Tools & Accessories,USA,3057.47,25.77,27.78,2.34,4.36,2.65,21.29,22.7,,0.00%,4.74,18.90%,16.56%,15.20%,11.00%,10.30%,-26.00%,-14.30%,24.76,24.17,2.50%,-8.57%,98.40%,-0.74%,1.18%,2.88,9.10%,10.80%,11.30%,6.4,2.7,0.01,0.02,39.60%,21.00%,16.90%,2.73%,-8.37%,-6.94%,7.33%,-22.46%,-22.79%,1.2,4.16,2.56%,3.45%,-1.54%,-4.36%,-11.36%,-16.01%,7.80%,-33.94%,57.48%,47.87,-0.73%,1.60%,2.5,99.07,1.93,122.25,0.86%,189547,8/6/2020 16:30,127,8/10/2005,122.25,0.00%
783,BLBD,Blue Bird Corporation,Consumer Cyclical,Auto Manufacturers,USA,317.7,27.59,8.37,1.84,0.34,,25.42,,,0.00%,0.43,-17.10%,104.32%,21.00%,15.00%,,-91.30%,-38.70%,27.03,15.48,1.00%,-8.56%,96.90%,-0.69%,2.64%,3.49,3.10%,-18.00%,30.20%,1.3,0.2,,,12.00%,2.80%,1.30%,5.60%,3.66%,-16.50%,25.95%,-31.71%,-48.12%,1.13,0.47,4.21%,4.33%,0.50%,-2.64%,-19.81%,-17.77%,7.70%,-50.44%,41.55%,49.34,-1.98%,-0.25%,2.5,117.02,2.31,11.89,-2.22%,264575,8/12/2020 16:30,16,3/20/2014,11.89,0.00%
1091,CCMP,Cabot Microelectronics Corporation,Technology,Semiconductor Equipment & Materials,USA,4223.49,50.66,19.73,3.9,3.77,4.14,11.91,51.51,1.21%,58.50%,2.88,-66.10%,2.41%,-4.10%,13.00%,19.60%,23.70%,1.00%,29.08,28.77,0.70%,-8.53%,,-2.87%,1.95%,3.57,3.60%,8.50%,5.00%,2,1.5,0.89,1.05,43.20%,13.70%,7.60%,6.50%,-6.03%,5.21%,41.26%,7.76%,1.16%,1.23,4.84,2.48%,3.43%,1.27%,-4.09%,4.62%,-16.52%,9.76%,-16.52%,71.23%,51.15,1.74%,0.48%,2.8,157.21,0.78,145.99,2.23%,126765,8/5/2020 16:30,162.4,4/4/2000,145.99,0.00%
6921,UNF,UniFirst Corporation,Industrials,Specialty Business Services,USA,3480.75,24.1,23.8,2.41,1.88,2.1,8.26,22.88,0.53%,9.10%,7.86,29.60%,12.27%,9.40%,10.00%,5.30%,-54.50%,-1.80%,18.9,15.09,0.30%,-8.53%,99.73%,0.58%,2.05%,5.02,7.10%,8.90%,10.60%,4.7,4.2,0,0,35.60%,10.30%,8.10%,4.67%,-2.29%,8.05%,35.93%,0.95%,-6.19%,0.89,4.26,2.28%,2.35%,0.40%,-0.62%,3.82%,-8.06%,7.33%,-13.04%,55.45%,51.82,0.13%,-0.07%,,61.48,1.04,189.48,0.06%,66582,10/21/2020 8:30:00 AM,206,6/7/1983,189.48,0.00%
1094,CCOI,"Cogent Communications Holdings, Inc.",Communication Services,Telecom Services,USA,2890.94,72,52.96,1.19,5.17,,6.93,,4.66%,304.80%,0.84,29.50%,30.96%,116.30%,60.50%,7.50%,-48.40%,-47.60%,45.76,42.14,0.50%,-8.53%,86.80%,-1.42%,2.60%,2.71,4.10%,-18.30%,11.20%,5,5,,,60.50%,19.10%,7.00%,1.29%,-11.72%,-25.61%,-27.69%,12.69%,-8.10%,0.14,1.6,1.76%,2.50%,-5.24%,-14.26%,-20.24%,-33.51%,3.00%,-34.94%,13.13%,29.27,0.45%,0.27%,2.7,404.21,0.75,60.48,0.72%,303640,8/6/2020 8:30,75,2/5/2002,60.6,0.20%
821,BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,USA,132019.75,,8.04,,3.79,2.76,6.1,15.31,3.01%,,-0.1,-33.90%,18.58%,10.90%,22.20%,10.50%,-104.30%,61.50%,2263,2251.92,0.10%,-8.52%,76.00%,-1.92%,0.64%,1.46,-0.50%,-1.30%,5.50%,1.5,1.4,0.85,0.95,69.90%,15.00%,-1.60%,2.70%,-1.89%,1.15%,8.35%,21.56%,-6.81%,0.69,1.19,2.03%,2.07%,0.79%,-1.09%,-1.20%,-6.92%,5.13%,-12.47%,30.73%,51.36,-0.93%,0.15%,1.9,9856.66,0.88,59.82,-0.78%,8747559,11/5/2020 8:30,73.5,7/5/1929,59.98,0.27%
6743,TROW,"T. Rowe Price Group, Inc.",Financial,Asset Management,USA,28647.67,15.19,13.53,1.91,4.96,4.31,13.92,23.73,2.81%,38.90%,8.43,17.90%,8.47%,13.90%,7.97%,6.70%,18.90%,1.40%,227.4,223.13,0.80%,-8.52%,70.70%,-3.68%,2.48%,5.29,21.50%,29.20%,24.10%,,,0,0,,43.30%,34.30%,3.73%,-8.00%,4.33%,31.81%,17.41%,5.09%,1.17,3.05,1.99%,2.59%,0.00%,-4.02%,4.16%,-10.15%,5.32%,-10.15%,55.18%,46.29,-0.28%,0.14%,2.6,1048.26,0.96,128.04,-0.14%,1007686,7/29/2020 8:30:00 AM,144.29,4/2/1986,128.04,0.00%
4141,LOCO,"El Pollo Loco Holdings, Inc.",Consumer Cyclical,Restaurants,USA,584.68,30.64,19.52,2.04,1.38,2.21,9.7,26.1,,0.00%,0.53,385.20%,8.44%,-11.70%,15.00%,5.10%,-57.50%,-12.40%,34.84,18.67,1.70%,-8.52%,98.10%,5.90%,19.18%,10.85,2.90%,7.70%,8.40%,1.2,1.2,0.54,0.54,49.30%,6.70%,4.50%,5.71%,-9.89%,9.32%,97.58%,48.05%,7.66%,1.5,0.6,3.24%,3.74%,-1.11%,-3.47%,15.66%,-18.09%,9.76%,-18.09%,165.11%,47.54,0.49%,0.12%,2.2,329.98,0.61,16.3,0.62%,203534,7/30/2020 4:30:00 PM,20.25,7/25/2014,16.3,0.00%
4842,NTLA,"Intellia Therapeutics, Inc.",Healthcare,Biotechnology,USA,1154.57,,,,22.77,3.05,2.64,,,,-2.3,-6.30%,-28.30%,-50.60%,30.00%,,-8.30%,46.80%,53.37,48.95,0.90%,-8.50%,83.00%,21.86%,22.79%,14.66,-31.20%,-40.60%,,7.5,7.5,0,0,,,,-3.51%,-5.33%,-9.91%,68.82%,68.26%,36.95%,1.6,1.38,6.00%,7.11%,-3.21%,-1.30%,17.75%,-15.94%,21.46%,-21.40%,118.85%,46.09,0.05%,1.01%,2.1,761.02,0.73,20.09,1.06%,565430,8/6/2020 8:30,30.41,5/6/2016,20.09,0.00%
5195,PE,"Parsley Energy, Inc.",Energy,Oil & Gas E&P,USA,3773.04,,8.99,,2.08,0.9,1640.45,3.14,2.20%,,-9.85,-53.80%,58.13%,20.00%,5.00%,45.30%,-328.20%,-55.80%,376.95,299.19,2.60%,-8.41%,81.60%,5.31%,10.05%,4.02,-40.00%,-74.60%,6.00%,0.5,0.5,0.82,0,81.10%,,,0.44%,-15.90%,-15.11%,31.69%,-42.84%,-51.88%,2.22,0.48,4.86%,4.93%,-6.23%,-15.01%,-21.13%,-27.46%,4.96%,-54.78%,132.14%,39.65,-1.41%,-1.39%,1.7,7481.53,0.89,9.1,-2.78%,6711264,10/28/2020 4:30:00 PM,15.63,5/23/2014,9.09,-0.11%
289,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,USA,18407.34,8.12,8.62,1.05,1.51,2.99,2.39,3.4,2.68%,20.30%,19.13,-1.90%,9.72%,10.90%,7.77%,0.90%,-220.90%,-16.80%,125,119.95,0.10%,-8.40%,88.30%,-0.37%,2.43%,4.37,1.70%,40.20%,8.40%,,,0.67,3.17,51.20%,26.10%,20.50%,7.40%,-1.18%,6.78%,65.14%,14.76%,-6.77%,1.74,4.88,3.26%,3.27%,1.90%,0.09%,7.26%,-6.29%,9.51%,-14.12%,94.11%,54.53,0.08%,0.70%,1.8,666.67,0.89,155.31,0.78%,596415,7/29/2020 4:30:00 PM,180.5,9/15/2005,155.31,0.00%
7187,VRSN,"VeriSign, Inc.",Technology,Software - Infrastructure,USA,23386.85,30.74,35.4,3.84,18.77,,19.58,30.97,,0.00%,6.74,54.20%,-13.38%,23.50%,8.00%,4.00%,6.80%,2.60%,115.35,113.31,1.10%,-8.37%,93.50%,-1.70%,1.27%,2.07,43.10%,-54.90%,305.70%,1.2,1.2,,,85.50%,66.10%,63.30%,2.58%,-3.97%,-1.70%,13.98%,16.45%,7.55%,0.87,5.08,2.29%,2.64%,1.77%,0.28%,2.08%,-6.02%,6.29%,-6.36%,39.29%,52.46,0.34%,0.82%,2.5,695.71,0.61,207.22,1.16%,425788,7/23/2020 4:30:00 PM,240.57,1/30/1998,207.22,0.00%
3640,ITCI,"Intra-Cellular Therapies, Inc.",Healthcare,Biotechnology,USA,1968.34,,,,634.95,4.51,4.83,,,,-3.05,5.60%,21.20%,-20.10%,,,-41.30%,,66.43,60.35,0.60%,-8.36%,68.70%,2.13%,11.17%,3.7,-51.30%,-60.60%,,10.4,10.3,0,0,93.50%,,,-1.77%,46.17%,6.32%,79.37%,227.48%,-24.98%,1.44,1.84,4.66%,7.08%,-3.58%,14.24%,18.06%,-23.71%,49.13%,-40.91%,281.33%,51.12,-0.58%,0.90%,1.5,1823.65,0.68,25.74,0.31%,1235441,8/10/2020 8:30,,12/27/2013,26,1.01%
5173,PCTY,Paylocity Holding Corporation,Technology,Software - Application,USA,8363.44,140.9,78.03,6.38,14.9,22.22,29.29,87.03,,0.00%,1.15,18.90%,44.38%,43.80%,22.10%,29.70%,-51.80%,8.50%,53.73,36.52,31.60%,-8.35%,73.50%,3.28%,4.42%,4.43,3.20%,18.30%,12.90%,1.2,1.2,0.25,0.25,67.60%,11.80%,11.50%,11.92%,7.81%,6.19%,103.33%,72.32%,34.46%,1.51,6.04,3.94%,4.56%,10.61%,15.77%,27.65%,-3.06%,30.23%,-3.06%,142.55%,69.17,-0.14%,0.78%,2.3,364.1,1.18,162.46,0.64%,432395,8/6/2020 16:30,147.31,3/19/2014,162.46,0.00%
4825,NSIT,"Insight Enterprises, Inc.",Technology,Information Technology Services,USA,2039.15,13.73,9.16,1.53,0.25,1.67,13.25,5.51,,0.00%,4.18,1.00%,13.23%,19.40%,9.00%,7.80%,-5.00%,7.20%,35.06,34.34,1.10%,-8.35%,,-1.43%,8.25%,10.77,3.60%,13.00%,9.30%,1.3,1.3,0.36,0.36,15.20%,2.90%,1.80%,1.90%,-4.27%,20.89%,41.04%,2.19%,-18.40%,1.52,1.71,2.72%,2.99%,0.45%,3.39%,5.41%,-6.14%,20.03%,-21.66%,103.04%,54.7,0.77%,0.60%,1.7,263.02,0.63,57.36,1.38%,167138,8/6/2020 8:30,66.5,1/24/1995,57.36,0.00%
4124,LMNR,Limoneira Company,Consumer Defensive,Farm Products,USA,249.32,,55.87,,1.46,1.29,57.98,,2.11%,,-0.72,-163.30%,158.10%,-22.80%,15.00%,10.60%,285.90%,5.30%,17.62,15.42,0.30%,-8.34%,60.10%,-2.15%,4.14%,11.19,-3.10%,-6.40%,-1.40%,1.8,,0.63,0.65,4.50%,-7.60%,-7.30%,0.64%,-1.73%,1.21%,18.05%,-21.17%,-26.21%,0.96,0.71,2.82%,5.44%,-3.67%,-2.48%,-7.64%,-15.44%,7.66%,-35.06%,33.87%,46.56,-0.84%,0.07%,1.8,56.99,0.53,14.19,-0.77%,30555,9/9/2020 16:30,17.4,10/16/2003,14.19,0.00%
6671,TMDX,"TransMedics Group, Inc.",Healthcare,Medical Devices,USA,375.67,,,,15.52,2.86,2.69,,,,-1.61,-101.20%,38.30%,,,,16.40%,-40.40%,23.33,20.59,0.90%,-8.32%,75.20%,34.48%,6.73%,7.42,-29.10%,-50.00%,-33.40%,11.5,10.5,0.3,0.3,60.90%,,,-1.97%,-20.15%,-19.92%,14.72%,-30.49%,-26.62%,,0.8,5.35%,5.47%,-11.47%,-18.42%,-16.17%,-28.72%,9.76%,-41.88%,38.12%,28.04,1.01%,0.22%,1.8,186.77,0.93,13.95,1.23%,175470,8/5/2020 16:30,21,5/2/2019,13.95,0.00%
3231,HSIC,"Henry Schein, Inc.",Healthcare,Medical Distribution,USA,8197.42,14.53,16.02,3.48,0.88,2.76,27.68,18.29,,0.00%,3.99,72.00%,40.61%,11.50%,4.17%,-0.80%,-110.20%,-31.20%,142.35,140.76,0.20%,-8.28%,,-2.74%,6.13%,6.76,8.10%,20.00%,14.90%,1.5,0.9,0.17,0.38,29.80%,5.90%,6.30%,-0.62%,-11.11%,-1.95%,19.57%,-6.25%,-13.19%,1,1.74,2.57%,2.88%,-6.63%,-10.94%,-5.81%,-19.97%,2.86%,-21.72%,38.40%,30.73,-2.05%,0.60%,2.6,1277.17,0.64,57.92,-1.46%,817626,8/4/2020 8:30,72.79,11/3/1995,57.92,0.00%
1565,CWCO,Consolidated Water Co. Ltd.,Utilities,Utilities - Regulated Water,Cayman Islands,152.43,29.83,16.65,3.73,2.08,0.97,4.36,23.45,3.29%,97.30%,0.35,-16.30%,47.62%,5.90%,8.00%,1.00%,-145.80%,4.40%,15.12,14.41,0.20%,-8.25%,58.20%,-2.62%,0.88%,1.5,2.80%,3.20%,5.70%,8.9,7.9,0,0,40.20%,8.80%,7.20%,-1.99%,-10.57%,-32.50%,-28.68%,-36.02%,-36.69%,0.21,0.36,3.21%,3.35%,-7.24%,-12.88%,-29.14%,-20.31%,-0.10%,-45.19%,-0.10%,29.19,-0.86%,0.00%,2.5,84.41,0.91,10.32,-0.86%,77451,8/17/2020 8:30:00 AM,15.5,6/1/1995,10.32,0.00%
5417,PRIM,Primoris Services Corporation,Industrials,Engineering & Construction,USA,844.68,9.66,9.66,0.97,0.26,1.32,5.43,4.14,1.36%,16.30%,1.83,6.00%,9.85%,5.70%,10.00%,8.30%,95.00%,15.00%,48.27,45.35,0.40%,-8.23%,89.10%,-0.74%,0.94%,1.09,4.90%,14.50%,10.90%,1.4,1.4,0.47,0.55,10.50%,4.60%,2.80%,-2.00%,-9.11%,0.74%,11.91%,-8.50%,-20.59%,1.16,0.67,2.93%,3.65%,-3.68%,-1.92%,-1.39%,-12.40%,11.63%,-25.58%,87.47%,44.97,-2.16%,0.06%,2,393.05,0.62,17.66,-2.11%,243566,8/4/2020 8:30,24.25,10/26/2006,17.66,0.00%
3343,IBKR,"Interactive Brokers Group, Inc.",Financial,Capital Markets,USA,20049.45,23.85,25.5,,7.74,2.44,6.44,4.79,0.82%,19.50%,2.04,-7.90%,-14.27%,22.10%,-1.34%,18.40%,-1.80%,-12.40%,77.36,74.98,2.60%,-8.22%,90.20%,0.07%,4.61%,5.62,0.20%,10.70%,32.80%,,,0,3.9,81.90%,46.60%,6.10%,3.58%,-8.86%,12.95%,9.32%,2.70%,4.20%,0.78,1.09,1.78%,2.39%,0.17%,-3.16%,4.03%,-9.52%,4.63%,-16.96%,44.15%,47.6,0.15%,0.36%,2.8,615.74,0.8,48.58,0.52%,498022,7/21/2020 4:30:00 PM,50.67,5/4/2007,48.58,0.00%
7185,VRS,Verso Corporation,Basic Materials,Paper & Paper Products,USA,260.97,1.48,15.52,,0.13,0.27,1.25,,5.15%,1.80%,5.26,-43.90%,-40.90%,19.30%,,13.50%,69.60%,-55.50%,34.55,28.7,0.60%,-8.22%,89.30%,-5.37%,2.58%,1.88,11.70%,19.40%,7.80%,3.3,1.5,0,0,10.60%,3.70%,9.90%,-0.77%,-27.35%,-15.73%,-7.63%,-22.40%,-45.64%,1.95,0.52,5.47%,5.63%,-19.81%,-22.80%,-29.74%,-34.66%,3.25%,-49.72%,3.25%,28.22,-0.51%,-1.14%,2,394.8,1.45,7.76,-1.65%,565369,8/6/2020 8:30,,7/19/2016,7.76,0.00%
4148,LOPE,"Grand Canyon Education, Inc.",Consumer Defensive,Education & Training Services,USA,3750.95,15.17,13.1,,4.61,2.53,,11.98,,0.00%,5.29,13.50%,11.78%,17.80%,,2.40%,-5.80%,6.30%,46.89,46.63,0.20%,-8.17%,,-1.58%,2.74%,4.23,14.50%,17.60%,13.10%,1.5,1.5,0.06,0.08,,33.30%,31.10%,-2.44%,-19.05%,-11.67%,12.17%,-19.70%,-16.28%,0.59,2.75,2.70%,3.30%,-6.19%,-11.62%,-8.68%,-24.44%,1.07%,-24.44%,38.54%,34.9,0.63%,-0.30%,1.2,302.12,1.49,80.2,0.33%,446671,8/4/2020 16:30,112.75,11/20/2008,80.2,0.00%
2452,FIX,"Comfort Systems USA, Inc.",Industrials,Engineering & Construction,USA,1894.36,15.06,18.23,1.51,0.66,3.03,35.54,8.11,0.81%,11.80%,3.45,2.50%,-15.79%,38.20%,10.00%,13.10%,65.50%,14.30%,36.58,35.53,2.40%,-8.16%,97.90%,0.91%,2.15%,2.78,8.10%,21.60%,15.60%,1.2,1.1,0.37,0.37,18.70%,6.50%,4.40%,3.34%,-0.90%,29.97%,51.60%,21.30%,4.31%,1.08,1.6,2.30%,3.20%,1.43%,2.29%,20.31%,-6.46%,28.97%,-6.46%,88.82%,53.75,0.97%,-0.02%,3,275.44,0.68,52,0.95%,188057,7/27/2020 4:30:00 PM,47.5,6/27/1997,52,0.00%
2913,GNTX,Gentex Corporation,Consumer Cyclical,Auto Parts,USA,6453.23,22.01,15.41,1.47,4.02,3.45,15.6,21.48,1.84%,39.10%,1.18,2.10%,41.30%,11.10%,15.00%,6.20%,-101.40%,-75.50%,245.78,245.15,0.20%,-8.14%,85.90%,0.19%,1.79%,2.77,13.70%,15.70%,21.30%,3.9,2.8,0,0.04,34.00%,21.00%,18.40%,2.04%,-4.48%,0.23%,23.94%,-3.05%,-10.14%,1.1,0.61,1.47%,2.44%,-0.94%,-2.90%,-2.11%,-8.12%,4.20%,-16.73%,33.68%,47.25,0.81%,0.31%,2.5,1589.05,0.78,26.04,1.13%,1246729,7/24/2020 8:30:00 AM,28,12/22/1981,26.04,0.00%
7374,WSTG,"Wayside Technology Group, Inc.",Technology,Electronics & Computer Distribution,USA,102.08,21.8,,0.99,0.44,2.41,2.27,2.52,2.88%,62.70%,1.08,91.90%,,4.20%,22.00%,-9.30%,-68.00%,11.60%,4.26,3.73,4.70%,-8.14%,39.90%,-20.74%,0.63%,1.61,3.80%,10.90%,13.70%,1.4,1.3,0,0,13.00%,2.70%,2.10%,2.25%,-6.04%,-1.99%,87.69%,66.76%,45.86%,0.9,1.28,4.89%,5.30%,-3.24%,-0.47%,23.13%,-10.83%,16.00%,-10.83%,148.32%,47.6,0.02%,2.49%,,14.47,0.8,23.63,2.52%,11890,8/12/2020 16:30,,7/18/1995,23.71,0.34%
4885,NVEE,"NV5 Global, Inc.",Industrials,Engineering & Construction,USA,687.02,36.84,13.84,2.68,1.16,1.75,10.54,10.39,,0.00%,1.44,-19.10%,17.75%,16.80%,13.75%,36.30%,-49.20%,27.10%,12.31,9.66,2.30%,-8.13%,65.40%,0.82%,13.00%,16.38,2.30%,5.00%,3.60%,2.4,2.4,0.88,0.94,50.10%,5.80%,3.10%,5.67%,1.69%,3.82%,32.42%,-20.75%,5.00%,1.16,1.94,3.97%,3.76%,3.84%,-1.62%,4.96%,-23.76%,10.86%,-29.02%,96.19%,52.25,0.17%,0.21%,2,76.69,0.56,52.97,0.38%,42763,8/5/2020 16:30,72.83,9/30/2013,52.97,0.00%
7311,WINA,Winmark Corporation,Consumer Cyclical,Specialty Retail,USA,638.53,22.88,,,9.31,,49.12,13.56,0.46%,10.10%,7.52,8.00%,,15.30%,,3.70%,-25.90%,-28.70%,3.69,2.89,8.00%,-8.13%,69.70%,8.88%,2.54%,4.26,59.30%,-306.40%,81.50%,1,1,,,96.70%,58.40%,43.70%,4.73%,11.03%,-1.20%,37.70%,-4.52%,-13.21%,0.68,4.84,2.85%,3.07%,7.60%,7.62%,3.58%,-2.10%,14.72%,-19.95%,49.66%,65.85,0.32%,-0.36%,,17.28,2.76,172.11,-0.04%,46631,07/15/2020,,8/25/1993,172.11,0.00%
5811,RNR,RenaissanceRe Holdings Ltd.,Financial,Insurance - Reinsurance,Bermuda,8678.33,13.92,11.12,0.54,1.89,1.12,7.32,4.04,0.82%,11.10%,12.22,231.90%,92.72%,5.30%,25.60%,27.80%,-13.80%,-23.80%,51.22,50.39,0.20%,-8.11%,95.80%,15.94%,1.08%,1.9,2.00%,9.90%,14.70%,,,0.17,0.17,,20.70%,12.10%,2.74%,-7.52%,-1.08%,15.75%,-9.49%,-13.21%,0.48,4.29,2.26%,2.50%,-0.91%,-3.98%,-2.37%,-11.04%,5.57%,-16.06%,50.20%,45.31,0.12%,0.11%,2.7,286.14,0.84,170.13,0.23%,242624,7/28/2020 4:30:00 PM,190.78,7/27/1995,170.13,0.00%
4957,ODP,The ODP Corporation,Consumer Cyclical,Specialty Retail,USA,1082.45,,5.94,,0.11,0.62,1.42,2.68,,,-5.37,2.00%,15.65%,18.40%,12.30%,-3.50%,,-16.60%,53,51.64,0.70%,-8.09%,85.00%,-13.15%,6.13%,4.31,-4.10%,-13.70%,4.00%,1.2,0.7,0.37,0.39,22.40%,-2.00%,-2.70%,8.54%,-14.91%,-7.67%,24.75%,20.66%,-26.24%,2.28,0.96,3.90%,4.43%,-3.34%,-4.97%,-8.39%,-17.24%,13.16%,-32.41%,48.60%,47.12,4.12%,-0.21%,3,734.69,0.5,20.21,3.91%,371122,8/5/2020 8:30,26.5,6/1/1988,20.21,0.00%
6728,TRGP,Targa Resources Corp.,Energy,Oil & Gas Midstream,USA,3122.18,,38.58,,0.39,1.08,15.91,,2.95%,,-8.34,-170.00%,104.90%,-21.00%,,0.10%,218.00%,-23.60%,233.1,229.29,0.20%,-8.07%,85.50%,-3.80%,1.97%,1.78,-11.20%,-48.00%,2.70%,0.9,0.8,2.6,2.69,36.10%,-21.60%,-24.50%,-2.72%,-19.98%,-28.79%,114.87%,-65.09%,-66.74%,2.86,0.82,5.01%,5.51%,-10.29%,-21.47%,-37.57%,-35.61%,3.82%,-67.76%,271.04%,30.77,-2.02%,-1.21%,2.4,2536.25,1.34,13.58,-3.21%,3401476,8/6/2020 8:30,24.47,12/7/2010,13.58,0.00%
1069,CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,USA,15665.7,14.04,15.49,1.28,0.64,2.54,12.9,13.1,,0.00%,3.38,20.00%,31.95%,21.00%,11.00%,21.40%,-63.10%,-5.80%,335.13,332.57,0.60%,-8.05%,97.80%,1.40%,2.42%,5.12,7.30%,19.00%,13.10%,1.2,1.2,0.29,0.49,20.60%,4.70%,4.70%,3.81%,-0.77%,4.15%,29.26%,-4.15%,-22.66%,1.57,1.57,2.82%,3.27%,-0.57%,3.16%,-2.54%,-7.11%,15.54%,-26.80%,62.51%,53.93,-0.02%,0.94%,2.1,1574.81,1.27,47.4,0.92%,1993361,7/31/2020 8:30:00 AM,50.6,6/10/2004,47.4,0.00%
5863,RTRX,"Retrophin, Inc.",Healthcare,Biotechnology,USA,964.11,,,,5.15,2.7,2.11,,,,-2.55,-36.20%,-33.70%,4.80%,20.00%,44.10%,37.00%,8.30%,44.76,42.38,1.20%,-8.02%,,19.71%,9.85%,11.55,-14.90%,-36.40%,-32.20%,7.2,7.1,0.66,0,96.70%,-53.80%,-49.10%,6.37%,2.79%,-7.65%,27.68%,69.07%,35.14%,0.68,0.89,4.24%,4.78%,2.65%,0.51%,14.93%,-10.33%,11.44%,-12.45%,113.70%,53.25,3.73%,0.22%,1.4,361.43,0.72,19.19,3.95%,266657,7/30/2020 4:30:00 PM,29.67,10/6/2003,19.19,0.00%
4064,LEN,Lennar Corporation,Consumer Cyclical,Residential Construction,USA,25524.2,11.58,10.39,1.02,1.13,1.55,18.25,,0.60%,,7.16,1.50%,8.15%,15.50%,11.40%,23.40%,-19.40%,-43.90%,308.37,284.47,1.10%,-8.00%,94.90%,-0.79%,2.95%,3,,,7.20%,,,0.45,0.54,,,,6.95%,6.14%,37.83%,148.14%,43.43%,48.65%,1.51,2.92,2.99%,3.92%,7.15%,9.61%,35.23%,0.25%,21.53%,0.25%,226.24%,62.32,0.57%,0.95%,2.2,2796.48,1.18,82.93,1.53%,3298831,9/14/2020 4:30:00 PM,87.53,6/23/1971,83.56,0.76%
